YEAR,DIVISION,TEAM NAME,POINTS,WINS,LOSSES,OT
2022-2023,Metropolitan,Carolina Hurricanes,113,52,21,9
2022-2023,Metropolitan,New Jersey Devils,112,52,22,8
2022-2023,Metropolitan,New York Rangers,107,47,22,13
2022-2023,Metropolitan,New York Islanders,93,42,31,9
2022-2023,Metropolitan,Pittsburgh Penguins,91,40,31,11
2022-2023,Metropolitan,Washington Capitals,80,35,37,10
2022-2023,Metropolitan,Philadelphia Flyers,75,31,38,13
2022-2023,Metropolitan,Columbus Blue Jackets,59,25,48,9
2022-2023,Atlantic,Boston Bruins,135,65,12,5
2022-2023,Atlantic,Toronto Maple Leafs,111,50,21,11
2022-2023,Atlantic,Tampa Bay Lightning,98,46,30,6
2022-2023,Atlantic,Florida Panthers,92,42,32,8
2022-2023,Atlantic,Buffalo Sabres,91,42,33,7
2022-2023,Atlantic,Ottawa Senators,86,39,35,8
2022-2023,Atlantic,Detroit Red Wings,80,35,37,10
2022-2023,Atlantic,Montréal Canadiens,68,31,45,6
2022-2023,Central,Colorado Avalanche,109,51,24,7
2022-2023,Central,Dallas Stars,108,47,21,14
2022-2023,Central,Minnesota Wild,103,46,25,11
2022-2023,Central,Winnipeg Jets,95,46,33,3
2022-2023,Central,Nashville Predators,92,42,32,8
2022-2023,Central,St. Louis Blues,81,37,38,7
2022-2023,Central,Arizona Coyotes,70,28,40,14
2022-2023,Central,Chicago Blackhawks,59,26,49,7
2022-2023,Pacific,Vegas Golden Knights,111,51,22,9
2022-2023,Pacific,Edmonton Oilers,109,50,23,9
2022-2023,Pacific,Los Angeles Kings,104,47,25,10
2022-2023,Pacific,Seattle Kraken,100,46,28,8
2022-2023,Pacific,Calgary Flames,93,38,27,17
2022-2023,Pacific,Vancouver Canucks,83,38,37,7
2022-2023,Pacific,San Jose Sharks,60,22,44,16
2022-2023,Pacific,Anaheim Ducks,58,23,47,12
